date,thermal_peak_mw,thermal_min_mw,thermal_mean_mw,thermal_peak_units,thermal_min_units,valley,peak,has_floor
2024-06-08,36608.12,20030.92,29252.96541666667,104.0,90.0,21898.58,43206.4,True
2024-06-09,37792.88,17688.72,28313.20583333333,108.0,103.0,19865.1,45196.21,True
2024-06-10,35368.24,18128.52,28051.925,109.0,101.0,22806.96,46522.53,True
2024-06-12,38055.48,21244.56,30139.354166666668,109.0,91.0,23094.28,45801.81,False
2024-06-13,40308.64,22207.84,32140.059999999998,118.0,105.0,23420.88,46247.32,True
2024-06-14,46211.36,32328.0,40227.707083333335,133.0,112.0,36012.69,56512.36,False
2024-06-15,46155.76,24383.08,37303.80291666667,128.0,126.0,28921.43,53826.52,False
2024-06-16,46272.88,25952.12,36689.488333333335,130.0,125.0,31530.33,51136.57,False
2024-06-17,43659.4,22957.36,33725.79416666667,127.0,124.0,28891.3,52832.51,True
2024-06-18,38538.16,20829.52,30213.725000000002,130.0,116.0,24375.19,47824.53,True
2024-06-19,36868.76,19915.0,28609.88625,119.0,115.0,26306.46,50470.76,True
2024-06-20,41079.88,26268.6,34404.214583333334,117.0,114.0,27800.23,51480.86,False
2024-06-21,46108.16,33094.44,40950.00083333333,118.0,115.0,37861.18,52269.84,False
2024-06-22,44701.24,30266.88,37731.56166666667,132.0,120.0,33103.75,58541.8,False
2024-06-23,39521.92,18159.52,27920.48166666667,132.0,100.0,18570.62,46302.63,True
2024-06-24,40779.92,20614.04,31196.190416666665,107.0,101.0,22720.93,51878.29,True
2024-06-25,41179.96,22053.24,30455.596666666665,105.0,98.0,24567.23,48077.93,False
2024-06-26,34011.4,20473.44,27986.962083333332,100.0,95.0,24393.26,45415.78,True
2024-06-27,33876.24,18467.92,26738.47708333333,98.0,93.0,24762.71,47955.44,True
2024-06-28,32666.88,19407.72,26507.584583333333,99.0,93.0,23443.62,41541.07,True
2024-06-29,37761.8,26467.48,33055.14833333334,94.0,93.0,34125.14,46053.17,False
2024-06-30,38461.16,19957.56,30282.037083333333,99.0,93.0,24647.98,47871.38,True
2024-07-01,38379.36,28766.2,33457.53625,100.0,98.0,38132.41,47603.29,False
2024-07-02,34740.6,24749.2,28457.5125,100.0,94.0,30517.25,46980.47,True
2024-07-03,31813.88,14393.0,24303.727499999997,100.0,80.0,14525.69,42242.75,True
2024-07-04,32978.76,23689.56,28971.3925,89.0,85.0,31455.74,42503.51,True
2024-07-05,34328.32,25191.24,29356.648749999997,94.0,87.0,20674.79,43217.07,False
2024-07-06,35884.88,16189.0,24291.41791666667,96.0,90.0,13309.16,44641.51,True
2024-07-07,35874.32,22723.8,30269.2225,96.0,92.0,33428.63,44257.94,False
2024-07-08,35806.56,27871.04,31440.318750000002,98.0,96.0,33591.61,44143.64,False
2024-07-09,34590.64,18608.8,26656.645416666666,101.0,94.0,22211.09,49377.2,True
2024-07-10,36341.36,13970.0,26219.547083333335,101.0,78.0,18981.31,49330.31,True
2024-07-11,36822.72,18823.76,28860.760416666668,103.0,100.0,21574.81,48242.57,True
2024-07-12,36222.32,17828.0,28856.54375,106.0,99.0,25149.85,49657.59,True
2024-07-13,37180.6,23610.8,31002.165833333333,107.0,93.0,21848.77,47181.27,False
2024-07-14,37841.4,19633.88,28802.437083333334,95.0,93.0,20631.43,47308.26,True
2024-07-15,38518.6,25345.24,31553.157083333335,93.0,93.0,24293.68,45081.87,False
2024-07-16,37724.48,29023.16,32752.26958333333,95.0,92.0,35965.51,46851.79,False
2024-07-17,36734.04,30598.64,33988.190833333334,105.0,95.0,40263.79,47572.49,False
2024-07-18,43190.52,29041.36,35572.74333333333,111.0,104.0,29478.14,51793.6,True
2024-07-19,38866.88,23407.0,31443.859583333335,113.0,108.0,30169.47,48807.64,False
2024-07-20,46095.76,30049.2,37767.37708333333,130.0,114.0,37980.75,55469.29,True
2024-07-21,39260.76,22549.48,31016.773333333334,130.0,118.0,29925.02,51702.98,True
2024-07-22,43000.76,25898.76,34009.13291666666,121.0,119.0,36381.47,52918.97,False
2024-07-23,55220.6,33326.72,45418.44541666666,155.0,123.0,43611.15,65188.58,False
2024-07-24,51469.56,31536.08,41947.30625,153.0,147.0,42749.03,64632.97,False
2024-07-25,46686.8,28561.12,38994.043333333335,148.0,132.0,41570.68,57542.87,False
2024-07-26,42462.48,28859.76,36744.01333333333,131.0,124.0,41582.27,52603.6,False
2024-07-27,34300.76,23276.32,29143.398333333334,125.0,107.0,34323.04,42311.74,False
2024-07-28,37900.2,23320.32,29757.380416666667,109.0,107.0,31833.52,45714.78,False
2024-07-29,49685.8,27193.04,36497.06291666667,131.0,113.0,35040.05,57160.39,False
2024-07-30,48636.68,28714.84,38209.19458333334,155.0,131.0,32548.81,61065.86,False
2024-07-31,44198.12,24724.08,33604.690833333334,155.0,150.0,31061.3,60350.9,True
2024-08-01,51670.48,33140.36,41052.74041666667,151.0,149.0,40325.23,62242.51,False
2024-08-02,57082.76,34881.8,44417.2175,155.0,149.0,41237.11,69267.6,False
2024-08-03,54984.92,36220.16,45920.44,155.0,152.0,41400.44,64097.28,False
2024-08-04,55893.68,33607.68,43061.28166666667,152.0,152.0,40622.22,64094.33,False
2024-08-05,59967.36,42325.16,50255.47541666666,156.0,153.0,46343.52,69308.58,False
2024-08-06,54655.28,36489.36,43128.44541666666,156.0,150.0,42727.53,62528.07,False
2024-08-07,51165.28,33767.24,42028.43875,150.0,147.0,40021.93,61446.25,False
2024-08-08,52871.08,35259.44,42932.37708333333,147.0,145.0,40622.38,62085.06,False
2024-08-09,50927.24,34157.52,43040.105,146.0,145.0,43178.66,61192.9,False
2024-08-10,48289.56,28312.6,36340.081249999996,146.0,139.0,37901.28,58396.6,False
2024-08-11,49378.84,25008.52,35581.58041666667,141.0,139.0,30094.36,61960.11,True
2024-08-12,51683.56,28404.76,39746.45208333333,145.0,141.0,34078.15,66273.41,False
2024-08-13,51227.08,30074.96,40828.385833333334,145.0,138.0,33676.67,61279.04,False
2024-08-14,55535.32,35339.52,44233.43541666667,146.0,139.0,39754.33,63532.78,False
2024-08-15,53592.4,32359.6,42832.95333333333,146.0,145.0,37979.55,63385.4,False
2024-08-16,53832.28,31121.92,42412.03916666666,146.0,145.0,36657.69,63300.48,False
2024-08-17,54631.52,32772.2,43582.005833333336,147.0,146.0,37656.06,65055.16,False
2024-08-18,51756.12,34115.56,43062.684166666666,147.0,143.0,38392.15,61800.72,False
2024-08-19,48707.4,36860.76,42872.479583333334,143.0,140.0,45765.8,61235.93,False
2024-08-20,42608.12,31409.48,37429.184583333335,143.0,138.0,43880.7,57610.54,False
2024-08-21,50860.88,29252.6,40174.47875,141.0,138.0,38057.38,63281.22,False
2024-08-22,54135.48,30714.84,42331.54541666667,145.0,141.0,36906.58,64827.2,False
2024-08-23,54711.12,35136.88,44303.229583333334,147.0,144.0,39170.84,67696.84,False
2024-08-24,58372.16,39061.6,49081.706666666665,154.0,148.0,39295.62,69064.71,False
2024-08-25,55350.92,38881.92,47870.16583333333,153.0,151.0,43189.96,64669.14,False
2024-08-26,47221.36,30330.16,38408.903333333335,151.0,133.0,44881.76,53513.39,True
2024-08-27,31563.92,20983.92,25150.820416666666,133.0,106.0,22421.62,46254.24,True
2024-08-28,37556.96,17046.0,27232.53458333333,110.0,102.0,20550.97,51883.08,True
2024-08-29,42498.08,20643.08,33327.39708333334,117.0,108.0,24358.11,55323.27,True
2024-08-30,45155.52,23563.32,36225.16291666667,130.0,116.0,26182.63,56262.44,False
2024-08-31,48303.56,25951.04,38492.41166666667,133.0,127.0,26109.67,57879.45,False
2024-09-01,42778.92,33865.04,38448.4125,133.0,130.0,38590.55,54020.17,False
2024-09-02,37547.08,22215.56,27806.075,131.0,105.0,27618.99,46157.95,False
2024-09-03,41384.48,20962.32,32030.155416666665,116.0,105.0,25335.88,51974.3,False
2024-09-04,40535.0,20539.72,31513.722916666666,119.0,115.0,27005.42,53427.97,False
2024-09-05,35069.44,27568.52,32151.714583333334,119.0,106.0,35316.0,41504.05,False
2024-09-06,35850.72,17294.2,26901.099166666667,105.0,101.0,23149.05,47724.65,True
2024-09-07,40132.12,20739.92,31283.804999999997,105.0,101.0,27086.61,51094.89,False
2024-09-08,43156.72,24751.12,33581.03166666667,114.0,104.0,27408.83,50183.25,False
2024-09-09,45791.2,27411.16,35140.95166666667,128.0,113.0,30670.65,56231.57,False
2024-09-10,40898.68,32617.6,36369.32041666667,127.0,115.0,37853.47,49736.84,False
2024-09-11,39819.24,28972.88,35028.85208333333,115.0,113.0,35913.17,48121.54,False
2024-09-12,40816.64,26880.32,33573.70208333333,117.0,115.0,33987.9,50895.63,False
2024-09-13,41234.4,32959.68,37426.825000000004,117.0,110.0,38554.61,49044.56,False
2024-09-14,35734.16,24005.44,28477.727916666667,111.0,90.0,30119.05,41011.59,False
2024-09-15,32325.32,14468.0,22693.51,92.0,85.0,17375.35,43691.32,True
2024-09-16,32922.48,16233.04,26986.773749999997,92.0,86.0,16186.43,41958.86,True
2024-09-17,31302.76,18937.76,25852.665416666667,91.0,86.0,19647.78,37121.76,False
2024-09-18,39692.4,25649.76,33440.97416666667,102.0,90.0,29802.39,45863.22,False
2024-09-19,46677.72,36967.36,40685.769166666665,131.0,101.0,44708.58,57834.69,False
2024-09-20,41630.44,21952.28,33021.45916666667,127.0,98.0,30387.59,46896.84,False
2024-09-21,26168.8,13983.96,19281.709583333333,96.0,79.0,9904.49,36546.18,True
2024-09-22,30889.72,13932.44,22458.790833333333,80.0,78.0,8324.74,41038.43,True
2024-09-23,38926.72,18103.84,30939.882916666666,101.0,83.0,20138.11,49452.42,True
2024-09-24,38350.44,19094.16,31226.786666666667,110.0,102.0,22577.87,50259.72,True
2024-09-25,39314.48,18836.76,31182.898333333334,110.0,106.0,24241.11,49241.72,False
2024-09-26,38080.68,20529.36,31774.71416666667,107.0,102.0,25639.53,48538.17,False
2024-09-27,37831.28,21075.84,31488.149166666666,104.0,99.0,23135.29,49068.95,False
2024-09-28,38653.88,20606.72,31492.924166666668,106.0,100.0,23368.56,48239.43,False
2024-09-29,37990.2,20220.32,30996.52125,111.0,102.0,22389.23,48533.06,False
2024-09-30,31604.72,21250.72,28846.789999999997,110.0,89.0,31049.31,41236.24,False
2024-10-01,22729.96,10149.4,15300.140416666667,91.0,60.0,-7307.38,29071.05,True
